,iteration,x,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha
101,101,[4.94066499065647 8.98355649709692],0.00274107266568679,0.0001,False,[-0.00343627534780980 -0.483423903214714],[-0.00386919612012214 -0.538765002121804],[3.34353252450555e-5 0.485930906040757],0.25,0.5,0.01
102,102,[4.94691415269902 8.99055213288281],0.000916447114936689,0.0001,False,[-0.00250676886127287 -0.328870058061568],[-0.00284737567598519 -0.381343794076627],[1.98596076844514e-5 0.297043210565088],0.25,0.5,0.01
103,103,[4.95279953932851 8.99636242488919],0.000147209921370945,0.0001,False,[-0.00179521929155680 -0.188957342343798],[-0.00205825838766390 -0.237053955277005],[1.15412099946145e-5 0.166374043895360],0.25,0.5,0.01
104,104,[4.95828663210964 9.00024633642446],9.68966917452707e-6,0.0001,False,[-0.00126188552324597 -0.0727515022162493],[-0.00146097873935045 -0.113827115481438],[6.56678253419614e-6 0.0858334124850403],0.25,0.5,0.01
105,105,[4.96334408444700 9.00144086592487],2.61771816426866e-5,0.0001,False,[-0.000870977654765185 0.00492672848918119],[-0.00101847792591150 -0.0247617325034737],[3.66269230464820e-6 0.0429288425693232],0.25,0.5,0.01
106,106,[4.96794660009160 9.00039892582055],4.75819641963678e-6,0.0001,False,[-0.000591035354213207 0.0288173184973743],[-0.000697895997137781 0.0154225557471623],[2.00600754728907e-6 0.0218796402073511],0.25,0.5,0.01
107,107,[4.97207788147203 8.99946044840473],4.73469682875908e-6,0.0001,False,[-0.000395187821036446 0.00797851641092961],[-0.000470864865061780 0.00983952624498780],[1.08109048059230e-6 0.0109716484657353],0.25,0.5,0.01
108,108,[4.97573307418591 9.00021601657248],1.50698359150191e-6,0.0001,False,[-0.000261231981712519 -0.0107910319053985],[-0.000313640202549834 -0.00563339236780196],[5.74666314430875e-7 0.00554404741765932],0.25,0.5,0.01
109,109,[4.97892011902673 8.99986931895463],7.63146469211369e-7,0.0001,False,[-0.000171484761373673 0.00432033144966226],[-0.000207023621667714 0.00183190049529621],[3.02036668907130e-7 0.00278135634074713],0.25,0.5,0.01
110,110,[4.98165963573571 9.00027058452868],1.07159210608335e-6,0.0001,False,[-0.000112405020461428 -0.00261362090731154],[-0.000136059670762999 -0.00150224055665960],[1.57335778766032e-7 0.00139409367749713],0.25,0.5,0.01
111,111,[4.98398333674703 8.99889509946253],1.24054802895922e-5,0.0001,False,[-7.40295513396685e-5 0.00541169057359525],[-8.95370811955012e-5 0.00368320779103154],[8.14080766187924e-8 0.000711690036180736],0.25,0.5,0.01
112,112,[4.98593132664951 9.00525927620562],0.000276717388038982,0.0001,False,[-4.93057285293189e-5 -0.0220980107494029],[-5.93635666958645e-5 -0.0156527061142943],[4.19195657422997e-8 0.000600006057630731],0.25,0.5,0.01
113,113,[4.98754882384216 8.99545433514121],0.000206702794649871,0.0001,False,[-3.34149399261253e-5 0.105185524112443],[-3.99020966185601e-5 0.0749759665557586],[2.15180619762831e-8 0.00583200027022001],0.25,0.5,0.01
114,114,[4.98888282416203 9.00133624330104],1.79012862453901e-5,0.0001,False,[-2.31639371866215e-5 -0.0909132971757742],[-2.73484770446062e-5 -0.0494409812428910],[1.10273149811344e-8 0.00704861393679533],0.25,0.5,0.01
115,115,[4.98997911434999 9.00010494851018],1.40393311960855e-7,0.0001,False,[-1.64878744064407e-5 0.0267248660207429],[-1.92030250659821e-5 0.00768340420483439],[5.64958249178850e-9 0.00388141620031099],0.25,0.5,0.01
116,116,[4.99087992959014 8.99931382124301],4.72916744878056e-6,0.0001,False,[-1.20753454850824e-5 0.00209897020357630],[-1.38572653803073e-5 0.00349507870389082],[2.89769823018630e-9 0.00194291093811325],0.25,0.5,0.01
117,117,[4.99162243476302 9.00219036123899],4.79916007853537e-5,0.0001,False,[-9.10281716435448e-6 -0.0137235751397498],[-1.02914292183427e-5 -0.00941891167883961],[1.49027975525698e-9 0.00106562372636480],0.25,0.5,0.01
118,118,[4.99223805916252 8.99431533863407],0.000323164637818031,0.0001,False,[-7.05561218041896e-6 0.0438072247797265],[-7.86456643989989e-6 0.0305006906650850],[7.70030709248729e-10 0.00149234833463314],0.25,0.5,0.01
119,119,[4.99275255225121 9.00344923069749],0.000118980200829493,0.0001,False,[-5.61167137710457e-6 -0.113693227318549],[-6.17489514280340e-6 -0.0776447478226408],[4.00760782446672e-10 0.00720924913637024],0.25,0.5,0.01
120,120,[4.99318652275992 8.99927563917114],5.25345152015425e-6,0.0001,False,[-4.56810970259131e-6 0.0689846139499082],[-4.96980606264434e-6 0.0323272735067709],[2.10814204350790e-10 0.00598406304909405],0.25,0.5,0.01
121,121,[4.99355621192249 8.99977493463094],5.11716533782618e-7,0.0001,False,[-3.79566324679443e-6 -0.0144872165772085],[-4.08919895075690e-6 -0.00278359405621366],[1.12610631916928e-10 0.00309697124662450],0.25,0.5,0.01
122,122,[4.99387430964338 9.00080372423897],6.46395069326833e-6,0.0001,False,[-3.21073892305321e-6 -0.00450130738113330],[-3.43035392997913e-6 -0.00407187904990339],[6.14597381744686e-11 0.00155861650738197],0.25,0.5,0.01
123,123,[4.99415070098219 8.99715379363158],8.10124187708629e-5,0.0001,False,[-2.75833091235248e-6 0.0160744847792955],[-2.92633666675914e-6 0.0110378938219958],[3.45340637982539e-11 0.000908502784150888],0.25,0.5,0.01
124,124,[4.99439309512042 9.00590235966756],0.000348381461379050,0.0001,False,[-2.40155598641730e-6 -0.0569241273683190],[-2.53275115650276e-6 -0.0399336220707403],[2.01507674770753e-11 0.00207442953039774],0.25,0.5,0.01
125,125,[4.99460752937659 8.99713240756227],8.22334006084806e-5,0.0001,False,[-2.11519694855973e-6 0.118047193351146],[-2.21958550054549e-6 0.0785519894956741],[1.23124128041359e-11 0.00800478469424024],0.25,0.5,0.01
126,126,[4.99479876068414 9.00023897889578],5.73304702930904e-7,0.0001,False,[-1.88167497733586e-6 -0.0573518487545925],[-1.96615260813827e-6 -0.0233758891920259],[7.92655676223389e-12 0.00564700962490495],0.25,0.5,0.01
127,127,[4.99497056399542 9.00066251059298],4.39112240362735e-6,0.0001,False,[-1.68850268717482e-6 0.00477957791562744],[-1.75791516741568e-6 -0.00225928886128589],[5.38879904341524e-12 0.00283492699497825],0.25,0.5,0.01
128,128,[4.99512595763249 8.99825288738556],3.05257179591062e-5,0.0001,False,[-1.52664867629853e-6 0.0132502118597131],[-1.58446529907782e-6 0.00937283667946335],[3.85972761212965e-12 0.00150524755465277],0.25,0.5,0.01
129,129,[4.99526737328962 9.00469895005548],0.000220802821217230,0.0001,False,[-1.38946990898967e-6 -0.0349422522887721],[-1.43821875651171e-6 -0.0238634800467133],[2.89517712005871e-12 0.00136310427483248],0.25,0.5,0.01
